file	format	rate	rank	source	owner	complete	url
double/Ze_Banded_s_Floette_Aerodactyl_Team.txt	double			pokepaste	ZeBanded	yes	https://pkmnchamps.com/parties/d7cf397a-5972-4b75-b0f7-bab7560fbbd9
double/xx_z2z_s_Floette_Gyarados_Team.txt	double			pokepaste	xx_z2z	yes	https://pkmnchamps.com/parties/dd8c8594-bb24-4fb5-9e76-cc10a87f8393
double/2200_Mega_Blastoise_Shell_Smash_Offense.txt	double			x	じーん	yes	https://pkmnchamps.com/parties/e6fa2bbb-cc4a-4d93-9884-65b1f106f1da
double/Gawhota_s_Tyranitar_Charizard-Y_Team.txt	double			pokepaste	Gawhota	yes	https://pkmnchamps.com/parties/e819ba20-b756-4650-a241-737e20d186d0
double/Sarapoke0914_s_Gengar_Rain_Team.txt	double			pokepaste	Sarapoke0914	yes	https://pkmnchamps.com/parties/ee3d1279-30f9-47f4-aa1e-81da0b90802d
double/EldritchEm_s_Gardevoir_Arcanine_Team.txt	double			pokepaste	EldritchEmma	yes	https://pkmnchamps.com/parties/f6c98fe5-da46-4db3-a05f-199e9450e2a2
double/2355_daikousin45_Rank_1st._Sun_Balance_with_Mega-Y.txt	double			x	フシギダネ	yes	https://pkmnchamps.com/parties/f9d7a8ad-a109-4a93-93a4-5043ca9aca7f
double/Sarapoke0914_s_Charizard-Y_Whimsicott_Team.txt	double			pokepaste	sarapoke0914	yes	https://pkmnchamps.com/parties/fd309306-306a-4167-849c-714999c6f0d3
double/Rod_s_Charizard-X_Kingambit_Team.txt	double			pokepaste	trnrrodvgc	yes	https://pkmnchamps.com/parties/fd52929d-a0f6-424d-b212-a6f3afe86491
double/Bruneaux_s_Orthworm_Raichu_Team.txt	double			pokepaste	bruneaux	yes	https://pkmnchamps.com/parties/fe5403e8-15d2-4ef4-aace-ac207bea244a
double/ChyrWill_s_Charizard-Y_Rotom-Wash_Team.txt	double			pokepaste	chyrwill	yes	https://pkmnchamps.com/parties/ff7470dc-e60a-46dd-b1a9-b2d829055819
double/WDMichael_s_Golurk_Trick_Room_Team.txt	double			pokepaste	Its_WDMichael	yes	https://pkmnchamps.com/parties/ffcddb36-7e18-4f07-af27-83442a8ed7ac
single/2816_2816_サックー_Mega_Lucario_Mega_Floette_Offense.txt	single	2816	1	x	サックー	yes	https://pkmnchamps.com/parties/4e5bb4f1-04d9-419e-b230-f923e906ff25
single/2814_2814_攻め意識_Mega_Starmie_Mega_Glimmora_Offense.txt	single	2814	2	x	攻め意識	yes	https://pkmnchamps.com/parties/5786025f-8d50-4b48-8294-ebb2470088fe
single/2787_2787_くまおつ_Mega_Scizor_Gengar_Offense.txt	single	2787	3	x	くまおつ	yes	https://pkmnchamps.com/parties/54fba8d2-be54-4bce-a9c5-bd385001de44
single/2780_2780_らいざ_Mega_Gyarados_Garchomp_Offense.txt	single	2780	5	x	らいざ	yes	https://pkmnchamps.com/parties/a5a820ee-50c7-46b1-bc61-8fbc312abafc
single/2779_2779_キョウタ_Mega_Sableye_Mega_Lucario_Offense.txt	single	2779	6	x	キョウタ	yes	https://pkmnchamps.com/parties/26d7e50c-646d-4a85-9ac7-c121e833f683
